Date,Platform,Daily_Active_Users,New_Registrations,Session_Duration_(minutes),In_game_Purchases_($),Social_Media_Mentions,Stream_Viewership,Revenue_($),Top _genre,Influencer_Endorsements
02-08-2023,Console,155583,15558,58.00017222,54522.09185,7709,67560.42581,63050.98634,Simulation,0
10-10-2024,PC,167874,16787,57.14163722,59917.69381,8127,61094.31134,65059.51603,FPS,0
17-07-2019,Mobile,115716,11571,43.14792935,54296.75026,5759,69722.40132,58460.23823,FPS,0
06-03-2021,PC,131505,13150,31.56715384,51660.0254,6631,89785.20825,62149.30179,FPS,0
29-06-2024,Mobile,165226,16522,60.0678642,54178.15528,8329,95170.00201,44621.06078,RPG,0
21-05-2021,VR,133828,13382,57.57949249,47488.86175,6657,79107.48918,52397.37049,Simulation,2
16-10-2024,PC,168059,16805,47.01651434,73957.10552,8375,34791.02965,105005.3346,Action,0
06-05-2019,VR,113195,11319,42.84032791,24817.85369,5731,56372.27656,19973.93556,Simulation,0
23-08-2023,VR,156435,15643,51.14126619,39456.82799,7741,42007.13812,34546.79636,Adventure,0
06-07-2022,Console,144874,14487,60.1521388,31327.88228,7248,32113.8676,41055.46812,Simulation,0
21-01-2024,VR,160737,16073,45.40673461,23359.88421,8171,87540.55606,17268.97634,Adventure,0
22-03-2018,Mobile,102612,10261,75.4428084,30692.87765,5112,38232.5421,26528.22405,Simulation,0
01-11-2019,Console,118183,11818,40.60977252,49647.27306,5886,55122.24012,30826.97094,RPG,0
02-03-2021,Mobile,131833,13183,64.62547236,14218.10609,6651,70566.25436,16955.9835,FPS,0
22-05-2021,Mobile,134096,13409,33.3732993,46211.28081,6745,42881.30742,23260.76144,FPS,0
14-09-2023,PC,157147,15714,62.25538476,73394.80326,7826,78499.32047,66078.62371,FPS,0
14-04-2020,Mobile,122855,12285,44.00003906,39951.84622,6166,69074.22059,43071.4777,Simulation,0
29-10-2021,Mobile,137693,13769,51.76078816,55036.80048,6846,69943.09613,76731.5562,Simulation,4
04-03-2018,VR,102053,10205,46.7807551,37270.20572,5080,59139.24467,39813.31742,FPS,0
20-09-2020,Mobile,128155,12815,61.4709228,33580.36127,6312,39598.12479,19383.36811,RPG,0
16-07-2022,Console,145614,14561,57.42068399,29262.60567,7307,57769.5216,23759.74075,Adventure,0
18-10-2021,VR,138426,13842,70.25097766,56305.77204,6836,57001.4339,31750.37884,Adventure,0
09-01-2018,VR,100278,10027,51.90135056,17994.5734,5127,47162.18199,22940.19632,Adventure,0
22-09-2023,Console,157284,15728,41.48790635,57586.07868,7669,83199.95328,71314.82675,Action,2
14-01-2019,Mobile,110446,11044,40.36506519,53783.65117,5396,24946.26355,57394.57261,FPS,0
18-05-2024,Mobile,164393,16439,39.63797791,79984.70252,7987,77807.40022,86370.39102,Action,0
10-01-2018,VR,100830,10083,73.13067201,13832.75097,4949,31644.84752,17373.00849,Simulation,0
19-04-2021,VR,132967,13296,39.97599092,28268.71191,6681,42793.01302,41211.59156,Adventure,0
16-05-2020,Mobile,123834,12383,59.2879422,44729.72658,6054,81138.03706,47950.61424,Adventure,0
17-03-2019,PC,112382,11238,33.63516281,18219.84457,5591,41083.30984,10913.22522,Action,0
31-07-2019,PC,115359,11535,39.15968203,23791.33754,5745,54655.02507,22198.28157,Simulation,0
19-07-2020,VR,125226,12522,73.63391129,41435.06137,6359,33558.89265,54688.12754,Adventure,0
03-09-2023,PC,157190,15719,63.03139289,33992.35602,7826,78911.62182,36547.47159,FPS,0
02-06-2021,Mobile,134735,13473,30.15650637,17263.26636,6646,30206.77751,9333.074743,Action,0
25-07-2023,VR,155678,15567,56.6148467,65077.47773,7702,65958.08801,33677.02042,RPG,0
29-01-2020,PC,120805,12080,37.77570195,39121.0332,5972,63527.72592,55216.95367,Action,0
08-06-2023,Console,154861,15486,53.61721861,65264.16478,7648,57598.19933,58772.87261,FPS,0
30-01-2020,VR,120681,12068,61.27338708,21962.81994,6020,83976.09478,31756.34283,Action,0
10-08-2024,VR,166365,16636,36.87591841,64758.19329,8478,80849.61034,65428.76241,Adventure,0
29-09-2019,Mobile,117514,11751,43.67252245,25128.67163,5859,77905.28148,18980.2233,FPS,0
11-10-2019,PC,117667,11766,42.89029667,56886.27498,6012,31747.62183,40852.70168,RPG,3
25-10-2018,PC,108282,10828,50.78380969,45509.702,5314,29049.17043,29807.83567,Action,0
15-06-2023,Console,154847,15484,41.82970544,58440.6742,7851,50995.64664,69107.59436,FPS,0
28-02-2022,Mobile,141076,14107,40.94551442,70019.53401,7281,56231.75431,43442.9235,FPS,0
27-01-2018,VR,100144,10014,34.0205584,38689.94812,5100,42554.93675,54516.74014,Action,0
25-11-2018,VR,109247,10924,71.14184959,23105.43058,5481,53058.41619,26004.82383,Simulation,0
09-08-2023,VR,156890,15689,52.4830612,50857.51393,7873,34539.97152,39439.63642,FPS,0
20-11-2019,Mobile,118567,11856,57.66968802,17541.01417,5956,57531.9377,20800.08336,Simulation,0
04-09-2024,Mobile,166686,16668,45.5878591,30146.45922,8320,80754.93723,27111.88147,FPS,0
07-04-2022,VR,142796,14279,31.43898009,34567.30467,7103,34493.2873,43134.47552,Action,0
21-12-2019,PC,119207,11920,64.55281928,28888.95493,6057,24356.93525,22135.04186,Simulation,0
23-08-2021,VR,136532,13653,60.82927039,36084.34452,6695,45806.24666,45891.93707,Action,0
19-07-2018,VR,105557,10555,45.20435079,26538.48447,5327,44796.95207,25523.30982,RPG,0
11-06-2020,Console,124336,12433,67.09529438,21286.56527,6270,76014.89979,23625.7139,FPS,0
25-12-2019,Console,120376,12037,55.83895334,25437.04996,6003,58488.41423,31037.13491,Action,0
02-01-2020,VR,119708,11970,63.4368382,34716.00219,6156,46732.36944,18927.06195,FPS,0
07-08-2023,Console,156344,15634,41.98374232,15866.51176,7865,39579.918,19901.16824,Action,0
31-08-2018,VR,106735,10673,48.42175727,34845.75063,5239,23424.35465,30099.96955,RPG,0
30-07-2022,VR,145694,14569,45.97670095,49289.25643,7212,96698.27278,37491.33016,Adventure,0
14-11-2023,VR,159276,15927,53.58084538,33237.1144,7999,111334.5832,35317.32397,FPS,0
21-05-2019,PC,113471,11347,34.63299354,44801.02691,5600,66978.93551,53434.31253,Action,0
13-03-2024,Console,161813,16181,55.4428354,28442.48106,8091,82986.28361,25580.59217,Adventure,0
27-08-2018,PC,106508,10650,37.737058,25106.69637,5289,63805.13602,21671.71146,RPG,0
01-09-2021,VR,137413,13741,67.65023412,14402.7252,6692,30784.31445,11396.12569,Simulation,0
22-08-2020,Mobile,126503,12650,52.16408509,50095.64987,6503,60691.86266,41408.45698,Adventure,0
05-01-2022,Mobile,139835,13983,29.09985934,16292.86962,7057,48773.5512,18891.65618,Action,0
26-02-2020,Mobile,121750,12175,44.5634614,25869.95452,6011,42512.86384,38154.92076,Simulation,0
06-04-2020,Mobile,122564,12256,41.25231539,42597.48332,6063,82751.75109,57424.4624,RPG,0
22-01-2020,Console,120674,12067,67.06289743,27429.02,5986,60787.63737,19917.90318,Simulation,0
29-02-2024,Mobile,161421,16142,63.98653548,23477.59153,8094,94755.24712,34100.78231,FPS,0
27-04-2023,Console,153445,15344,48.00650014,51352.79562,7684,71523.80216,57504.64566,Adventure,0
03-02-2023,Console,150440,15044,36.03221028,73993.25804,7495,99692.67843,64462.25752,Action,1
09-06-2023,Console,154090,15409,58.90728532,36346.51208,7729,34411.32899,26753.32123,Adventure,2
28-04-2024,Console,162763,16276,39.95503184,24224.0145,8005,38667.57169,31993.38696,Action,0
22-09-2018,PC,106956,10695,48.71866629,21783.81535,5439,27969.21647,17083.828,Simulation,0
28-02-2020,Console,121737,12173,57.50249425,51749.63956,6146,69691.29111,53830.9461,Simulation,6
04-08-2020,VR,126713,12671,58.14911381,35994.86568,6330,60435.074,46020.11272,Simulation,0
16-04-2024,Mobile,162923,16292,31.40204703,38284.63645,8176,80749.78699,28888.35166,Simulation,0
11-05-2023,Mobile,153027,15302,53.30868071,69328.26697,7556,78978.02059,67598.93001,RPG,0
28-02-2023,VR,151991,15199,42.75875736,22813.57218,7766,84150.25907,32331.74729,Adventure,0
13-12-2022,VR,148937,14893,70.95758637,60321.15059,7493,46005.80287,60233.0846,FPS,0
11-07-2018,PC,104928,10492,51.1406703,24294.92618,5213,62663.88187,20142.19134,FPS,0
08-06-2021,VR,134487,13448,47.89143047,66611.27658,6799,69246.20276,96426.20606,RPG,0
10-05-2021,VR,133974,13397,61.29420657,29919.02445,6593,80878.49358,42289.86459,RPG,0
17-07-2023,Mobile,155642,15564,48.09579401,41983.36056,7877,39169.92495,59066.66693,Action,0
07-09-2022,VR,146739,14673,53.614757,44184.97803,7298,36713.40687,25056.97239,FPS,0
26-06-2019,Mobile,114870,11487,55.08028933,28641.80016,5731,30752.87129,19890.47719,Action,0
11-04-2019,Console,112854,11285,68.59419555,19218.15637,5671,43997.63984,18784.09509,Adventure,0
17-05-2023,Console,154188,15418,68.97738371,31348.05944,7707,42988.12218,25359.9686,Simulation,0
30-03-2024,VR,162338,16233,34.79377931,58146.08892,8293,109807.3425,80848.23867,Adventure,0
09-08-2019,PC,116183,11618,34.58082798,18798.03882,5925,60550.99192,17670.84258,Action,0
13-10-2021,VR,138431,13843,74.34852677,33724.94323,6877,60474.66796,36564.61525,Action,0
13-08-2022,VR,146560,14656,55.79369045,53946.75834,7288,98660.04091,29871.27267,RPG,0
27-09-2020,VR,128029,12802,60.13900357,39268.32434,6360,30587.62557,50072.48743,Action,0
08-10-2018,VR,107369,10736,38.45180452,29309.23332,5284,46809.04425,24351.47661,Simulation,0
18-12-2023,Mobile,158971,15897,56.22432007,50798.4874,8039,55090.59511,59162.4943,FPS,0
09-10-2020,Mobile,128309,12830,51.50772722,54611.0976,6363,33810.95203,80879.40248,Simulation,0
26-03-2023,PC,152799,15279,48.58284442,51982.51818,7614,92025.68849,59943.53555,Simulation,0
11-07-2018,Mobile,104671,10467,51.51305544,28249.52202,5250,50517.74071,14167.76679,RPG,0
10-08-2019,PC,116075,11607,27.77670686,56707.19635,5743,35879.62716,54985.59853,Action,0
14-10-2020,VR,128066,12806,43.26908608,27780.95591,6242,66923.10019,29844.74153,RPG,0
10-12-2022,PC,149755,14975,37.8297632,29623.25724,7446,43841.14322,18753.96178,Action,0
20-11-2020,PC,128612,12861,22.6338864,19372.99943,6528,86776.74503,25737.61625,Adventure,2
12-06-2023,PC,154458,15445,45.98909022,39716.27814,7597,59904.87667,30968.66744,RPG,0
01-02-2022,Console,140640,14064,46.18984577,43233.77592,7058,72792.99731,31256.24435,RPG,0
17-04-2020,Console,122787,12278,38.68040237,53126.4508,6186,37025.65921,41989.43031,Adventure,2
19-03-2021,VR,133143,13314,70.17486669,57273.04772,6604,55475.04662,45059.50887,FPS,2
29-04-2020,VR,123349,12334,48.00637303,40696.92656,6205,37289.12284,57919.2207,RPG,0
17-10-2020,Mobile,127463,12746,55.70421498,63316.4723,6398,82019.2844,61563.2519,Simulation,0
06-04-2024,Mobile,162646,16264,23.88633121,51249.2819,8093,85817.81097,53770.63197,Adventure,0
03-11-2018,PC,108329,10832,18.4352011,41241.56855,5371,52498.2859,30924.5626,Simulation,0
23-04-2022,PC,143138,14313,54.53554301,32227.27469,7085,32225.82891,47542.89419,RPG,0
20-02-2020,Console,121347,12134,53.57760647,36747.51782,6064,82232.88112,26270.01593,RPG,0
08-05-2018,Console,103408,10340,58.36553674,44047.76009,5110,28103.37294,62221.93421,Adventure,0
19-12-2021,Console,139492,13949,41.05890138,14763.6609,7057,64836.61864,19697.75304,Action,0
08-08-2023,Mobile,156198,15619,52.97530518,71416.06003,7860,61335.44817,58544.12908,FPS,0
12-06-2024,Mobile,163993,16399,42.18226383,17807.81593,8168,65202.85153,10686.7256,RPG,0
25-01-2018,PC,100625,10062,48.68430205,34467.16462,5035,67724.90731,26150.53268,RPG,0
29-07-2022,Mobile,145812,14581,32.52734617,33964.011,7228,34530.53798,41056.12438,RPG,1
14-01-2019,PC,109958,10995,33.44081513,33517.28277,5634,37960.78311,48398.23343,RPG,0
07-01-2024,VR,160309,16030,35.09354363,57894.7236,8071,76242.69859,41070.1363,FPS,0
30-01-2018,VR,100629,10062,60.54945007,42901.30647,5152,60996.52984,22109.5725,Adventure,0
02-05-2023,VR,153394,15339,48.52019588,56302.83571,7566,36479.11513,67488.34097,Action,0
18-06-2022,Mobile,144690,14469,25.12974138,48562.92292,7236,93212.04435,51899.1173,Adventure,0
09-01-2018,Mobile,100527,10052,43.69208324,46969.72499,5018,26691.40777,49943.07658,RPG,0
26-05-2023,VR,153888,15388,47.40614227,43167.08431,7834,35300.1962,34840.51944,FPS,2
04-09-2022,Console,146535,14653,55.10992733,66624.15288,7349,99585.49005,95322.1923,RPG,0
17-09-2021,Mobile,136955,13695,41.92560837,43592.64488,6857,32298.31534,31292.34525,Simulation,2
25-09-2018,PC,106529,10652,48.95724726,22221.15457,5406,43195.26515,32198.87314,RPG,0
03-12-2018,VR,109571,10957,45.5645265,26064.9208,5420,64300.27999,33588.22036,Action,0
01-04-2021,VR,132945,13294,62.34741104,39874.4385,6745,68104.95075,24692.26331,Action,0
10-02-2022,Mobile,140955,14095,35.35256887,18126.09791,7075,60397.74132,23558.3933,FPS,0
18-02-2022,VR,140672,14067,66.95335891,58042.89264,7054,48525.07303,63044.74664,RPG,1
12-08-2020,Mobile,126397,12639,36.77817899,20856.08915,6269,80966.8218,24269.12237,Action,0
13-10-2023,Console,158205,15820,32.30388943,35487.59543,7852,46268.17328,43442.55604,Simulation,1
10-08-2021,Mobile,136042,13604,47.20876547,61049.97912,6968,57403.36417,54759.03587,RPG,0
21-09-2022,Mobile,146488,14648,62.46564896,21589.20637,7444,49827.77288,11283.55974,Action,0
20-08-2021,Mobile,135691,13569,67.05119664,28397.60936,6819,78386.11794,42474.59869,FPS,1
08-01-2018,VR,100025,10002,45.78165233,12915.31274,4949,43828.02074,10820.1263,Action,0
19-11-2021,Console,138166,13816,57.21750283,14458.6028,6863,57724.17554,13996.68183,Simulation,4
01-01-2021,Console,130654,13065,52.06858222,52000.43862,6531,30881.89911,33481.88343,Action,1
08-01-2018,Mobile,100104,10010,32.76226803,16567.26444,5028,44418.90957,10520.50788,Adventure,0
16-11-2020,Console,128543,12854,37.2454786,13439.08968,6511,33655.2764,17594.66159,Adventure,0
20-02-2023,VR,151148,15114,53.38799253,15583.66897,7543,68045.80513,15884.34119,Adventure,0
03-07-2018,VR,105251,10525,60.5210533,10839.82383,5361,50322.74889,7770.722595,Action,0
01-06-2019,VR,114039,11403,59.42291788,50127.67477,5807,35130.59897,51548.82847,Simulation,0
27-01-2018,Console,100466,10046,74.24719251,12082.53325,5032,27973.15177,7642.601999,RPG,0
08-08-2024,PC,165700,16570,65.2405711,49470.6145,8151,38914.02727,65391.92729,Simulation,0
02-02-2024,Console,160848,16084,52.64428156,59999.27024,8110,93559.88315,42568.65885,FPS,2
29-06-2023,PC,154769,15476,38.72471463,61631.02228,7847,93478.44322,88599.31878,FPS,0
13-07-2019,PC,115477,11547,28.35858889,44861.85158,5780,75599.07973,22706.6,FPS,0
06-09-2018,Mobile,106624,10662,44.89106049,44607.50886,5266,45849.74096,33537.74881,FPS,0
11-06-2024,PC,164792,16479,56.55639618,47967.50152,8205,42109.15641,54554.80111,FPS,0
31-10-2022,Console,148298,14829,50.50703243,38827.1436,7439,32904.42413,52927.33488,Adventure,0
25-08-2022,Mobile,146923,14692,56.883736,48107.22345,7309,34691.90502,55450.30507,Adventure,0
01-04-2018,PC,102640,10264,62.11182483,49896.72184,5105,59805.80682,52900.68126,Adventure,0
18-03-2018,PC,102185,10218,40.68624484,33389.72735,5118,58453.44922,22022.04902,RPG,0
19-10-2019,VR,118312,11831,46.0789419,18350.79479,5889,38987.26811,11569.82928,RPG,0
20-02-2024,Mobile,161020,16102,71.57578516,53306.06446,8200,49461.12035,77261.16641,Action,0
02-02-2021,Mobile,130896,13089,57.66775828,54052.80694,6462,69119.18846,70714.34431,Action,0
17-01-2022,Console,140690,14069,49.14431504,33114.20435,7005,74398.36478,16862.94204,Action,0
10-09-2023,Mobile,156941,15694,31.44768085,42752.06829,7890,65705.68891,29783.92375,FPS,0
15-02-2020,PC,121168,12116,28.205204,28176.26058,6020,29706.84603,19544.95607,RPG,0
26-11-2021,VR,139016,13901,61.35649476,14824.02387,6785,80707.26786,11573.55195,Action,2
01-09-2020,Console,126533,12653,36.77519625,22280.25565,6538,74767.89922,25137.97744,RPG,0
22-09-2021,PC,137691,13769,50.08798075,53313.046,6917,69636.82967,48082.13905,Action,0
06-06-2023,Console,154237,15423,34.22282859,73182.43936,7784,88190.27736,86870.78125,Action,0
05-06-2018,Mobile,104965,10496,58.17836196,26686.23974,5191,54832.23729,16513.27848,Action,0
14-12-2022,VR,149489,14948,41.32936474,44922.48312,7475,82337.37642,48285.80685,Adventure,0
17-09-2019,Console,117419,11741,53.18563708,24190.01955,5935,54303.79002,29476.24204,Simulation,0
28-06-2018,Mobile,105147,10514,62.40213051,24565.49403,5300,70190.54152,30969.75952,RPG,0
02-10-2023,VR,156899,15689,54.22055002,52230.49073,7759,93339.73968,75000.4025,Simulation,0
15-12-2019,VR,120199,12019,64.47455251,35066.45999,6039,33934.60251,42399.15386,Action,0
03-12-2020,Mobile,128656,12865,52.16548348,26735.17098,6498,31947.75144,17267.73818,Action,0
29-12-2019,PC,119796,11979,36.93780321,25090.14062,5938,55049.54536,13169.79765,RPG,0
14-07-2023,PC,156002,15600,31.23613948,26365.24928,7811,107147.1576,36001.41098,Adventure,2
03-02-2021,PC,130951,13095,45.05034978,32343.61774,6626,90795.13315,18117.67008,Adventure,0
12-11-2018,Mobile,108494,10849,60.39693129,34590.80082,5404,56440.16254,21524.80929,RPG,0
01-03-2020,PC,121971,12197,47.92158518,23323.44154,6081,72534.3944,26868.25216,Action,0
31-08-2018,Console,106697,10669,42.70753708,40979.47632,5364,71291.45376,31713.69988,Simulation,2
05-09-2020,PC,127014,12701,49.78053003,26801.87625,6359,85224.37685,37223.7652,Action,0
23-07-2021,Console,136038,13603,55.35291534,36227.38818,6604,61525.7233,47739.547,Action,3
21-01-2024,Console,159844,15984,43.97252127,44366.27997,8083,65115.64183,33134.92942,RPG,0
06-03-2018,VR,101798,10179,44.47242164,21143.22043,5073,33050.77334,28927.84024,FPS,0
05-08-2020,Console,126459,12645,64.80050696,25462.96182,6394,83948.00669,24605.08513,Simulation,0
19-04-2024,Console,163355,16335,40.49122533,56012.44155,8339,39629.25495,54064.28557,Adventure,1
02-05-2018,VR,103598,10359,44.85381549,41864.71006,5141,63344.92749,51441.66044,RPG,0
31-05-2023,VR,153546,15354,51.89587214,65012.1007,7800,103902.1017,39853.76089,RPG,0
10-05-2018,Console,103529,10352,59.12375117,10853.88031,5066,41994.40707,11460.90947,Simulation,0
17-09-2023,Console,157110,15711,62.77509938,51320.33585,7767,83992.46714,59046.1179,Action,0
19-03-2018,VR,102110,10211,53.80037867,27370.79918,5192,38449.25562,23473.70243,Action,0
18-03-2020,VR,122669,12266,51.26524474,31050.33481,6070,27206.49753,42642.43608,RPG,0
07-06-2023,PC,154229,15422,37.76906639,48129.74148,7706,77764.44875,32164.42065,Simulation,0
08-02-2023,Mobile,151065,15106,53.96973131,54380.99452,7569,77746.52564,80905.01982,Action,0
11-09-2024,VR,166724,16672,42.97561413,26398.37663,8256,47277.16885,35419.23047,Simulation,0
19-07-2021,VR,134877,13487,53.68197934,51747.06021,6762,50963.28686,69736.62893,Action,0
13-07-2023,PC,155076,15507,35.47244773,24572.40929,7728,108493.262,25420.50378,Adventure,0
14-06-2022,Mobile,144621,14462,44.27239029,24225.87317,7394,73364.89284,20200.39882,RPG,0
25-08-2022,Console,146092,14609,32.74035291,60254.62217,7234,72493.34325,85731.56225,Action,0
28-04-2023,PC,152690,15269,61.68178358,21495.49122,7723,96510.1493,12503.23529,FPS,6
16-11-2019,Mobile,118443,11844,51.5224176,12039.12903,5955,82656.7306,6849.487248,Action,0
15-05-2023,Mobile,153324,15332,46.98718734,62969.73594,7687,65956.01447,92281.73817,Simulation,0
15-04-2022,Mobile,143358,14335,48.42387788,25017.90502,7140,72092.98683,19079.42878,Adventure,2
14-08-2023,Mobile,156460,15646,49.00013577,72933.04676,7873,92473.73174,70059.35961,Simulation,0
08-11-2018,VR,108834,10883,28.58535135,49457.08721,5307,24410.92554,47031.13237,Simulation,0
22-05-2024,VR,163572,16357,70.66782131,35170.48439,8153,41163.78298,18571.42061,Adventure,0
14-11-2020,Console,128139,12813,50.54852032,18399.57151,6418,67297.83531,16326.92322,RPG,0
24-06-2023,PC,155019,15501,39.95732744,55448.17568,7714,52219.16688,55702.03387,Adventure,0
19-01-2023,Mobile,150704,15070,52.33991696,32409.72269,7429,84636.5102,30562.02164,Simulation,0
08-05-2020,Console,123495,12349,49.71815704,45344.5686,6193,45783.38506,58749.09923,RPG,3
07-09-2021,Mobile,136559,13655,57.83342186,35343.26691,6875,45311.52501,31683.22441,RPG,0
28-08-2018,Console,106742,10674,35.74719755,24352.51489,5251,39081.59604,29777.7701,Action,0
15-04-2018,PC,103129,10312,47.29273405,46743.48405,5172,27559.37567,31816.59837,RPG,0
06-12-2021,Mobile,138858,13885,47.8110536,43968.28418,6996,90997.31527,39249.50844,Simulation,0
09-08-2022,VR,145621,14562,61.48874435,19601.68869,7412,57237.7691,24451.00943,Simulation,0
31-12-2020,Mobile,130087,13008,58.95267902,56941.37929,6613,62916.10245,30258.85393,RPG,0
23-07-2021,PC,135384,13538,58.34188602,52637.42916,6689,60536.37581,42934.62745,FPS,0
06-10-2018,PC,107852,10785,46.20004831,45276.14702,5538,70047.64664,65103.7533,Simulation,0
04-11-2019,PC,118305,11830,74.80482486,57988.81869,5828,80232.19936,72289.14149,Simulation,0
07-06-2022,PC,144087,14408,28.8927374,71950.79135,7135,73673.64599,42925.76385,FPS,0
14-01-2024,VR,160107,16010,34.72969744,70235.53872,8091,71343.53664,61641.80138,FPS,0
06-05-2023,VR,153820,15382,45.56165719,25003.12466,7823,40521.31337,25979.50483,Simulation,0
02-05-2020,Console,122972,12297,42.45433001,31547.43287,6193,30244.0347,43591.48695,FPS,0
21-01-2018,PC,100658,10065,46.50056514,21599.05897,4928,36883.99498,20976.7891,RPG,0
27-02-2021,Mobile,131423,13142,50.63687724,57637.4835,6664,59481.90632,40539.47398,FPS,0
10-12-2018,Mobile,108895,10889,50.94200938,38487.92448,5462,57593.1283,32369.3354,Adventure,0
13-01-2019,Mobile,111008,11100,28.90559267,49895.14324,5660,24297.58987,26684.26465,RPG,0
30-05-2022,Console,144164,14416,54.70598642,21423.12524,7256,78172.10158,26442.4762,Adventure,0
07-02-2020,Console,121361,12136,45.09751648,54008.71776,6127,73558.65774,57463.13086,Action,3
24-01-2020,VR,119997,11999,40.94080034,15895.97108,5933,26330.68388,13027.94005,Adventure,2
20-04-2021,Console,132637,13263,53.05615292,28787.92012,6666,51432.33926,34860.78545,Simulation,0
10-05-2023,Mobile,153387,15338,35.5811651,73611.54714,7718,86282.87346,53584.83477,RPG,0
24-01-2018,PC,99963,9996,51.0080994,34277.80444,5083,35306.34472,26571.86964,RPG,0
13-06-2024,PC,163674,16367,48.32115992,63619.69491,8420,109404.6563,91250.92541,FPS,0
08-07-2022,VR,145237,14523,51.52143462,47006.20038,7231,34174.01378,66331.40806,Action,2
15-01-2021,Console,130320,13032,74.65168521,35886.11167,6468,44109.74277,45912.50145,FPS,0
16-03-2023,Mobile,151697,15169,59.34900406,50563.05168,7459,32169.12642,43993.74257,Simulation,0
16-08-2020,Console,126531,12653,52.39008572,33903.71907,6282,82630.71648,45817.89222,FPS,0
22-08-2024,Mobile,167130,16713,37.49092958,46141.58838,8315,96478.94709,55421.56096,RPG,0
16-12-2020,Mobile,129719,12971,38.7499214,28993.27481,6541,49432.43585,32964.44522,FPS,0
28-04-2020,Mobile,123289,12328,32.45946286,55630.04432,6087,75251.84802,54157.24441,Adventure,0
02-04-2021,VR,132818,13281,57.49160695,37555.63298,6687,56325.10404,30618.16309,Simulation,0
13-12-2022,PC,149537,14953,50.21776013,58947.5706,7578,51704.0691,78476.53862,RPG,0
16-04-2024,Console,163021,16302,55.64786712,56279.14892,8279,49914.56338,54374.12435,Adventure,0
14-08-2019,PC,116079,11607,49.1732222,51811.22024,5699,35885.32106,60327.6266,Adventure,0
14-10-2018,VR,107480,10748,22.02147026,43296.57883,5260,68247.43382,30796.81391,Action,0
17-11-2021,Mobile,139150,13915,26.77459273,19740.81414,7067,61028.90535,19080.06761,FPS,0
12-07-2023,Console,155263,15526,58.9218107,62003.70338,7799,33181.7262,70924.39025,FPS,0
20-05-2021,Console,133838,13383,39.75693847,39021.99725,6520,35685.68244,32854.36834,FPS,0
04-07-2020,Console,124617,12461,60.28972161,59468.79713,6124,26576.62425,81036.35562,RPG,0
26-01-2019,Console,110638,11063,58.75824784,37548.38222,5430,32948.66659,33270.42009,Adventure,0
25-10-2020,PC,128806,12880,57.85773844,62886.15283,6491,73842.53431,43069.85617,Action,0
12-03-2024,Mobile,162191,16219,49.09350951,72583.36799,7990,51121.58759,92115.58242,FPS,0
07-05-2024,VR,163047,16304,52.04385274,57703.52706,8186,46034.60402,43452.74304,Action,0
05-11-2023,Mobile,158751,15875,55.80068935,37335.14181,7955,52709.58377,40512.40611,FPS,0
18-07-2018,Console,105046,10504,41.89869319,20808.35216,5237,21202.30395,10486.16524,Action,0
03-01-2022,Mobile,139355,13935,44.95299374,42223.48326,6987,32318.93977,36322.79976,Action,0
20-03-2023,Console,151832,15183,37.09668634,55450.46452,7754,92949.14054,82215.82127,FPS,0
03-02-2019,Mobile,111012,11101,66.46768038,18977.98213,5543,71330.22033,15028.02211,Adventure,0
